frame,openness,energy
913,6.7956,0.028543
914,4.6472,0.046345
915,2.8164,0.062697
916,3.4550,0.066573
917,4.9376,0.061380
918,4.6693,0.049499
919,3.3212,0.039438
920,3.3600,0.047242
921,3.2237,0.052020
922,2.7542,0.053177
923,2.8364,0.043995
924,4.7787,0.034908
925,6.6669,0.029377
926,7.6679,0.037260
927,6.9887,0.041735
928,6.5121,0.035549
929,3.6919,0.037831
930,3.2115,0.059939
931,4.7339,0.069843
932,5.0350,0.072491
933,4.8486,0.070757
934,5.4864,0.050515
935,5.8283,0.032060
936,4.8393,0.043319
937,4.8427,0.056118
938,4.5108,0.055918
939,4.6127,0.054547
940,4.5962,0.041816
941,3.3273,0.019537
942,4.5395,0.002670
943,5.0361,0.000311
944,5.8361,0.000056
945,6.7587,0.000014
946,7.3655,0.000000
947,4.8988,0.000000
948,4.8988,0.000000
949,4.8988,0.000000
950,4.8988,0.000000
951,4.8988,0.000000
952,4.8988,0.000000
953,4.8988,0.000000
954,4.8988,0.000000
955,4.8988,0.000000
956,4.8988,0.000000
957,4.8988,0.000000
958,4.8988,0.000000
959,4.8988,0.000000
960,7.7296,0.000000
961,6.8174,0.000023
962,5.8571,0.000043
963,4.7661,0.009703
964,4.2450,0.096617
965,4.0123,0.129447
966,3.9468,0.131240
967,4.8354,0.130990
968,3.7495,0.090198
969,5.6601,0.034726
970,7.0997,0.030241
971,6.7576,0.047238
972,4.2024,0.067010
973,3.3981,0.069431
974,2.7312,0.068651
975,2.9370,0.058360
976,3.1158,0.032314
977,5.7507,0.018945
978,7.1948,0.022486
979,6.3441,0.022437
980,5.5692,0.020394
981,4.7976,0.033088
982,4.2802,0.034647
983,5.6970,0.035372
984,4.6029,0.046334
985,4.6163,0.093712
986,4.5170,0.116715
987,4.8786,0.117649
988,4.8919,0.114198
989,4.8829,0.076886
990,6.4913,0.030728
991,7.4468,0.032367
992,7.8499,0.039166
993,7.7235,0.039152
994,7.3866,0.038326
995,6.6955,0.032824
996,6.4508,0.021629
997,7.2778,0.012159
998,6.8202,0.004236
999,6.7867,0.000303
1000,6.7388,0.000101
1001,6.8475,0.000000
1002,4.8988,0.000000
1003,4.8988,0.000000
1004,7.2667,0.000039
1005,5.9644,0.000080
1006,4.8190,0.000194
1007,3.4692,0.003951
1008,3.2598,0.005658
1009,4.4040,0.036665
1010,3.7136,0.069509
1011,3.6733,0.075180
1012,2.7927,0.076780
1013,2.8236,0.071437
1014,2.7889,0.043547
1015,7.0390,0.048689
1016,6.9323,0.054525
1017,7.1748,0.051114
1018,6.3229,0.048455
1019,6.4202,0.032751
1020,6.7458,0.022077
1021,6.7494,0.022635
1022,7.0044,0.029951
1023,7.4208,0.030995
1024,6.8634,0.028268
1025,5.6121,0.057766
1026,2.9517,0.136653
1027,4.2724,0.143301
1028,4.0673,0.144223
1029,4.3642,0.135607
1030,5.6383,0.074355
1031,5.7955,0.090730
1032,5.4195,0.096377
1033,5.4328,0.095586
1034,5.5658,0.079527
1035,4.6709,0.041315
1036,5.4022,0.021364
1037,5.5351,0.044942
1038,5.5950,0.055841
1039,5.4767,0.059319
1040,5.9017,0.058185
1041,6.4631,0.041315
1042,5.4543,0.023345
1043,5.4139,0.009947
1044,5.8312,0.006791
1045,6.3254,0.001100
1046,7.0023,0.000104
1047,7.0057,0.000000
1048,4.8988,0.000000
1049,4.8988,0.000000
